iter	Accuracy	Logloss
100	0.9342650378	0.1710973048
101	0.9343498024	0.1707661978
102	0.9345087361	0.1704273439
103	0.9345193316	0.1701285217
104	0.9347206476	0.1698670547
105	0.9350385149	0.1687058676
106	0.935112684	0.1683755787
107	0.9355788894	0.1673120745
108	0.9357060363	0.1666570948
109	0.935939139	0.1657215513
110	0.9360239036	0.1650128831
111	0.9360556904	0.1644015714
112	0.9362781975	0.1637751856
113	0.9364053444	0.1632368623
114	0.9368185719	0.1621536115
115	0.936892741	0.1616782142
116	0.9371894171	0.1607687446
117	0.9372635862	0.1603504824
118	0.9373589464	0.1598537175
119	0.9374331154	0.1593454993
120	0.9376768137	0.1588413758
121	0.9378887252	0.1580590459
122	0.9381748058	0.157658119
123	0.9382807616	0.157215184
124	0.9383867174	0.1568207174
125	0.9385244599	0.1563310287
126	0.9386516068	0.1557032281
127	0.9388105405	0.1552059873
128	0.9388211361	0.1549615734
129	0.9389270918	0.1545740568
130	0.9389270918	0.1543537143
131	0.9388953051	0.1540587657
132	0.9389694741	0.1537507222
133	0.9392449592	0.1532234846
134	0.9393297238	0.1529597546
135	0.9395416353	0.1527059978
136	0.9398912894	0.1515839065
137	0.9399654584	0.1513648093
138	0.9400926053	0.1510645889
139	0.9404210682	0.1505357992
140	0.9404952373	0.1504259867
141	0.9403786859	0.150270815
142	0.9404316638	0.1498188191
143	0.9407707223	0.1487214262
144	0.9408554869	0.1485507593
145	0.9409826338	0.1482249197
146	0.9410991852	0.1478335163
147	0.9411521631	0.1476580904
148	0.9414594348	0.1473405445
149	0.9415653906	0.1466582068
150	0.9415971773	0.1464566743
151	0.9415653906	0.1463105671
152	0.9415971773	0.1461081481
153	0.9418620668	0.145333647
154	0.9418832579	0.1451815972
155	0.942031596	0.1448384755
156	0.9421799341	0.1445588798
157	0.9424130368	0.1438737407
158	0.9425189926	0.1435672685
159	0.942508397	0.1431759792
160	0.9425613749	0.1428901145
161	0.9426567351	0.1426030013
162	0.9426249483	0.1424124511
163	0.9427203085	0.142242969
164	0.9428156687	0.1418561661
165	0.9428368599	0.141691384
166	0.9428792422	0.1415242631
167	0.9430063891	0.1413768593
168	0.9430805582	0.1410847835
169	0.9433030653	0.1408897503
170	0.9433666388	0.1406646372
171	0.9434937857	0.1404989163
172	0.9433984255	0.1402597328
173	0.9434725945	0.1398302149
174	0.9437268884	0.1394832948
175	0.9437798663	0.1393155693
176	0.9438434397	0.1391315456
177	0.9439176088	0.1389433474
178	0.9440659469	0.1387403465
179	0.9440447557	0.1384839117
180	0.9441083292	0.1383075527
181	0.9441930938	0.138163299
182	0.9442672628	0.1377318705
